id_kapasitas,ukuran_kapasitas,create_at,update_at
1,5,,
2,10,,
3,15,,
4,16,,
5,20,,
6,25,,
7,27,,
8,30,,
9,31.5,,
10,35,,
11,40,,
12,45,,
13,50,,
14,60,,
15,63,,
16,65,,
17,75,,
18,80,,
19,93,,
20,100,,
21,112.5,,
22,120,,
23,125,,
24,130,,
25,140,,
26,150,,
27,160,,
28,165,,
29,175,,
30,200,,
31,225,,
32,250,,
33,275,,
34,300,,
35,315,,
36,320,,
37,330,,
38,333,,
39,350,,
40,360,,
41,375,,
42,400,,
43,450,,
44,500,,
45,550,,
46,600,,
47,630,,
48,700,,
49,750,,
50,800,,
51,850,,
52,900,,
53,1000,,
54,1200,,
55,1250,,
56,1300,,
57,1400,,
58,1450,,
59,1500,,
60,1600,,
61,1750,,
62,1800,,
63,2000,,
64,2100,,
65,2200,,
66,2250,,
67,2500,,
68,2600,,
69,2750,,
70,2800,,
71,3000,,
72,3150,,
73,3200,,
74,3500,,
75,3600,,
76,3750,,
77,4000,,
78,4400,,
79,4500,,
80,4700,,
81,4750,,
82,5000,,
83,2000-2600,,
84,2VTB-12,,
85,2VTB-24,,
86,50CSP,,
87,6000-8000,,
88,ACT-1,,
89,BCT(O),,
90,BCT-1-2-3,,
91,BCTINOIL,,
92,CT-24(O)-1C1R-2R,,
93,CT-24(O)-2C1R-2C2R,,
94,CTB-12,,
95,CTB-12-2,,
96,CTB-12-2A,,
97,CTB-12A,,
98,CTB-24,,
99,CTB-24-2-2A-D2-B2,,
100,CTO-24,,
101,CVT-1,,
102,DRY-TYPE,,
103,POST-INSULATOR,,
104,RCT-1-2A,,
105,RCT-1-A1-1A2,,
106,RCT-1-D1-1D2,,
107,RCT-1-K,,
108,RCT-1-L,,
109,RCT-1-N1-2,,
110,RCT-24A-B(≤600T),,
111,RCT-24A-B(≥4000T),,
112,RCT-RC,,
113,TCI-24-2D,,
114,TCI-24-3B2-2B-2E-3C(DobleRatio),,
115,TCI-24-3B2-2B-2E-3C(singleRatio),,
116,TCI-24-4B(CTCORONG),,
117,TCI-24-4C(CTBAMBU),,
118,TLC-1A-1B,,
119,VT-24(O)-1B1S-2S,,
120,VT-24(O)-2B1S-2S,,
121,VT-24-2B1S,,
122,VT-24A,,
123,VT24F,,
124,VTB-12-F,,
125,VTB-24,,
126,VTB-24-2,,
127,VTI-24-1-4-17,,
128,VTI-24-2,,
129,ZTA-1-1A-1B,,
130,ZTA-2-3,,
