durasi_manhour,id_work_center,id_proses,id_tipe_proses,id_kapasitas,id_kategori_produk,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
0,1,1,1,43,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,50 CSP,TRASNDORMATOR OIL STANDART,,
0,1,1,2,43,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,50 CSP,TRASNDORMATOR OIL STANDART,,
1.5,1,1,3,43,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,50 CSP,TRASNDORMATOR OIL STANDART,,
0,1,1,4,43,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),50 CSP,TRASNDORMATOR OIL STANDART,,
0,1,2,5,43,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,50 CSP,TRASNDORMATOR OIL STANDART,,
0,1,2,6,43,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,50 CSP,TRASNDORMATOR OIL STANDART,,
4,1,2,7,43,2,COIL MAKING,COIL HV,PRESS COIL,50 CSP,TRASNDORMATOR OIL STANDART,,
0,1,2,8,43,2,COIL MAKING,COIL HV,STACKING,50 CSP,TRASNDORMATOR OIL STANDART,,
0,3,3,9,43,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,50 CSP,TRASNDORMATOR OIL STANDART,,
2.98,3,3,10,43,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,50 CSP,TRASNDORMATOR OIL STANDART,,
0,3,3,11,43,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,50 CSP,TRASNDORMATOR OIL STANDART,,
1.75,6,4,12,43,2,CONNECT,CONNECTION,RAIL,50 CSP,TRASNDORMATOR OIL STANDART,,
0.75,5,5,13,43,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,50 CSP,TRASNDORMATOR OIL STANDART,,
1,5,5,37,43,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,50 CSP,TRASNDORMATOR OIL STANDART,,
0.75,5,5,14,43,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,50 CSP,TRASNDORMATOR OIL STANDART,,
1,4,6,15,43,2,QC TEST,QC TESTING,ROUTINE TEST,50 CSP,TRASNDORMATOR OIL STANDART,,
1.85,1,1,1,5,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,30,TRASNDORMATOR OIL STANDART,,
0,1,1,2,5,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,30,TRASNDORMATOR OIL STANDART,,
0,1,1,3,5,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,30,TRASNDORMATOR OIL STANDART,,
0.25,1,1,4,5,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),30,TRASNDORMATOR OIL STANDART,,
4.9,1,2,5,5,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,30,TRASNDORMATOR OIL STANDART,,
0,1,2,6,5,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,30,TRASNDORMATOR OIL STANDART,,
0,1,2,7,5,2,COIL MAKING,COIL HV,PRESS COIL,30,TRASNDORMATOR OIL STANDART,,
0,1,2,8,5,2,COIL MAKING,COIL HV,STACKING,30,TRASNDORMATOR OIL STANDART,,
0,3,3,9,5,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,30,TRASNDORMATOR OIL STANDART,,
2,3,3,10,5,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,30,TRASNDORMATOR OIL STANDART,,
5.1,3,3,11,5,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,30,TRASNDORMATOR OIL STANDART,,
2.5,6,4,12,5,2,CONNECT,CONNECTION,RAIL,30,TRASNDORMATOR OIL STANDART,,
1.5,5,5,13,5,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,30,TRASNDORMATOR OIL STANDART,,
1,5,5,37,5,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,30,TRASNDORMATOR OIL STANDART,,
1,5,5,14,5,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,30,TRASNDORMATOR OIL STANDART,,
1,4,6,15,5,2,QC TEST,QC TESTING,ROUTINE TEST,30,TRASNDORMATOR OIL STANDART,,
2,1,1,1,12,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,100,TRASNDORMATOR OIL STANDART,,
0,1,1,2,12,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,100,TRASNDORMATOR OIL STANDART,,
0,1,1,3,12,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,100,TRASNDORMATOR OIL STANDART,,
0.25,1,1,4,12,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),100,TRASNDORMATOR OIL STANDART,,
5,1,2,5,12,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,100,TRASNDORMATOR OIL STANDART,,
0,1,2,6,12,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,100,TRASNDORMATOR OIL STANDART,,
0,1,2,7,12,2,COIL MAKING,COIL HV,PRESS COIL,100,TRASNDORMATOR OIL STANDART,,
0,1,2,8,12,2,COIL MAKING,COIL HV,STACKING,100,TRASNDORMATOR OIL STANDART,,
0,3,3,9,12,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,100,TRASNDORMATOR OIL STANDART,,
2.6,3,3,10,12,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,100,TRASNDORMATOR OIL STANDART,,
5.2,3,3,11,12,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,100,TRASNDORMATOR OIL STANDART,,
2.6,6,4,12,12,2,CONNECT,CONNECTION,RAIL,100,TRASNDORMATOR OIL STANDART,,
1.5,5,5,13,12,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,100,TRASNDORMATOR OIL STANDART,,
1,5,5,37,12,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,100,TRASNDORMATOR OIL STANDART,,
1,5,5,14,12,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,100,TRASNDORMATOR OIL STANDART,,
1,4,6,15,12,2,QC TEST,QC TESTING,ROUTINE TEST,100,TRASNDORMATOR OIL STANDART,,
1.8,1,1,1,17,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,160,TRASNDORMATOR OIL STANDART,,
0,1,1,2,17,2,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,160,TRASNDORMATOR OIL STANDART,,
0,1,1,3,17,2,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,160,TRASNDORMATOR OIL STANDART,,
0.25,1,1,4,17,2,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),160,TRASNDORMATOR OIL STANDART,,
4.51,1,2,5,17,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,160,TRASNDORMATOR OIL STANDART,,
0,1,2,6,17,2,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,160,TRASNDORMATOR OIL STANDART,,
0,1,2,7,17,2,COIL MAKING,COIL HV,PRESS COIL,160,TRASNDORMATOR OIL STANDART,,
0,1,2,8,17,2,COIL MAKING,COIL HV,STACKING,160,TRASNDORMATOR OIL STANDART,,
0,3,3,9,17,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUNDCORE,160,TRASNDORMATOR OIL STANDART,,
3,3,3,10,17,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,AMORPHOUS,160,TRASNDORMATOR OIL STANDART,,
6.5,3,3,11,17,2,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,OFF-LOAD,160,TRASNDORMATOR OIL STANDART,,
3,6,4,12,17,2,CONNECT,CONNECTION,RAIL,160,TRASNDORMATOR OIL STANDART,,
1.5,5,5,13,17,2,FINAL ASSEMBLY,FINAL ASSEMBLY,FINAL ASSY. STANDARD,160,TRASNDORMATOR OIL STANDART,,
1,5,5,37,17,2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,160,TRASNDORMATOR OIL STANDART,,
1,5,5,14,17,2,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,160,TRASNDORMATOR OIL STANDART,,
1,4,6,15,17,2,QC TEST,QC TESTING,ROUTINE TEST,160,TRASNDORMATOR OIL STANDART,,
