durasi_manhour,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
0.17,Coil CTVT,Balut core CT,Balut core CT,TCI-24-2D,CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,TCI-24-2D,CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,TCI-24-2D,CTVT,,
0.25,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,TCI-24-2D,CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,TCI-24-2D,CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,TCI-24-2D,CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,TCI-24-2D,CTVT,,
0.5,Coil CTVT,Solder,Solder,TCI-24-2D,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,TCI-24-2D,CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,TCI-24-2D,CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,TCI-24-2D,CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,TCI-24-2D,CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,TCI-24-2D,CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,TCI-24-2D,CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,TCI-24-2D,CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,TCI-24-2D,CTVT,,
0.25,Mould & Casting,Proses pembuatan material,Proses pembuatan material,TCI-24-2D,CTVT,,
0.22,Mould & Casting,Proses casting,Proses casting,TCI-24-2D,CTVT,,
0.17,Mould & Casting,Proses demoulding,Proses demoulding,TCI-24-2D,CTVT,,
0.5,Final Assembly,Proses gerinda,Proses gerinda,TCI-24-2D,CTVT,,
0.15,Final Assembly,Proses cat,Proses cat,TCI-24-2D,CTVT,,
0.1,Final Assembly,Pasang acesoris,Pasang acesoris,TCI-24-2D,CTVT,,
0.8,QC,Test QC,Test QC,TCI-24-2D,CTVT,,
0.17,Coil CTVT,Balut core CT,Balut core CT,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Coil CTVT,Core coil assembly & balut VT,Core coil assembly & balut VT,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Coil CTVT,Buat & pasang shielding,Buat & pasang shielding,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.25,Coil CTVT,Gulung coil sekunder CT,Gulung coil sekunder CT,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Coil CTVT,Buat coil primer CT manual,Buat coil primer CT manual,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
1.33,Coil CTVT,Buat coil primer CT menggunakan mesin,Buat coil primer CT menggunakan mesin,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Coil CTVT,Koneksi CT dan VT,Koneksi CT dan VT,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.5,Coil CTVT,Solder,Solder,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Coil CTVT,Gulung coil sekunder VT manual,Gulung coil sekunder VT manual,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Coil CTVT,Gulung coil sekunder VT menggunakan mesin,Gulung coil sekunder VT menggunakan mesin,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Coil CTVT,Gulung coil primer cut core,Gulung coil primer cut core,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Coil CTVT,Gulung coil primer no cut core,Gulung coil primer no cut core,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.75,Mould & Casting,Proses mould assembly type CT,Proses mould assembly type CT,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Mould & Casting,Proses mould assembly type VT,Proses mould assembly type VT,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0,Mould & Casting,Proses mould assembly type RCT,Proses mould assembly type RCT,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
0.12,Mould & Casting,Proses pengovenan,Proses pengovenan,TCI-24-3B2-2B-2E-3C(singleRatio),CTVT,,
