durasi_manhour,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
15,COIL MAKING,COIL HV,FLAT-KONDUKTOR 1,10,Dry Resin,,
17,COIL MAKING,COIL HV,FLAT-KONDUKTOR 2-3,10,Dry Resin,,
19,COIL MAKING,COIL HV,FLAT-KONDUKTOR 4-8,10,Dry Resin,,
22,COIL MAKING,COIL HV,FLAT-KONDUKTOR >8,10,Dry Resin,,
15,COIL MAKING,COIL HV,ROUND-KONDUKTOR 1,10,Dry Resin,,
17,COIL MAKING,COIL HV,ROUND-KONDUKTOR 2-3,10,Dry Resin,,
19,COIL MAKING,COIL HV,ROUND-KONDUKTOR 4-8,10,Dry Resin,,
22,COIL MAKING,COIL HV,ROUND-KONDUKTOR >8,10,Dry Resin,,
4,COIL MAKING,COIL LV,FLAT-KONDUKTOR 1,10,Dry Resin,,
5,COIL MAKING,COIL LV,FLAT-KONDUKTOR 2-3,10,Dry Resin,,
5,COIL MAKING,COIL LV,FLAT-KONDUKTOR 4-8,10,Dry Resin,,
8,COIL MAKING,COIL LV,FLAT-KONDUKTOR >8,10,Dry Resin,,
4,COIL MAKING,COIL LV,SHEET-KONDUKTOR 1,10,Dry Resin,,
5,COIL MAKING,COIL LV,SHEET-KONDUKTOR 2-3,10,Dry Resin,,
6,COIL MAKING,COIL LV,ROUND-KONDUKTOR 1,10,Dry Resin,,
6.5,COIL MAKING,COIL LV,ROUND-KONDUKTOR 2-3,10,Dry Resin,,
1,COIL MAKING,POTONG LEAD WIRE,TEBAL RAIL COPPER ≥ 10t,10,Dry Resin,,
1.5,COIL MAKING,POTONG LEAD WIRE,TEBAL RAIL COPPER < 10t,10,Dry Resin,,
1,COIL MAKING,POTONG LEAD WIRE,COPPAL BAR,10,Dry Resin,,
1,COIL MAKING,POTONG ISOLASI,DOG BONE,10,Dry Resin,,
0.5,COIL MAKING,POTONG ISOLASI,INNER,10,Dry Resin,,
0.5,COIL MAKING,POTONG ISOLASI,OUTER,10,Dry Resin,,
1,COIL MAKING,POTONG ISOLASI,GANJAL ANTAR SECTION,10,Dry Resin,,
8,MOULD & CASTING,HV MOULDING,KONDUKTOR 1,10,Dry Resin,,
10,MOULD & CASTING,HV MOULDING,KONDUKTOR 2-3,10,Dry Resin,,
12,MOULD & CASTING,HV MOULDING,KONDUKTOR 4-6,10,Dry Resin,,
3,MOULD & CASTING,HV CASTING,1X PENGISIAN,10,Dry Resin,,
4,MOULD & CASTING,HV CASTING,2X PENGISIAN,10,Dry Resin,,
3,MOULD & CASTING,HV DEMOULDING,PAKAI AIRWAY STICK,10,Dry Resin,,
3,MOULD & CASTING,HV DEMOULDING,TIDAK PAKAI AIRWAY STICK,10,Dry Resin,,
2,MOULD & CASTING,LV BOBBIN,PENGECATAN COIL LV & CURING,10,Dry Resin,,
0.5,MOULD & CASTING,LV BOBBIN,BUKA BOBIN LV,10,Dry Resin,,
1,MOULD & CASTING,LV MOULDING,SETTING MOULD,10,Dry Resin,,
1,MOULD & CASTING,LV MOULDING,MOULDING,10,Dry Resin,,
3,MOULD & CASTING,LV MOULDING,CASTING 1 X PROSES PENGISIAN,10,Dry Resin,,
4,MOULD & CASTING,LV MOULDING,CASTING 2 X PROSES PENGISIAN,10,Dry Resin,,
0.25,MOULD & CASTING,OVEN,OVEN PREHEATING,10,Dry Resin,,
0.25,MOULD & CASTING,OVEN,OVEN PRECURING,10,Dry Resin,,
0.25,MOULD & CASTING,OVEN,OVEN POSTCURING,10,Dry Resin,,
0.25,MOULD & CASTING,OVEN,OVEN CURING LV,10,Dry Resin,,
4,MOULD & CASTING,TOUCH UP,HV,10,Dry Resin,,
2,MOULD & CASTING,TOUCH UP,LV,10,Dry Resin,,
4,CORE & ASSEMBLY,TYPE SUSUN CORE,STACKING OUTSOURCHING,10,Dry Resin,,
6,CORE & ASSEMBLY,TYPE SUSUN CORE,STACKING INHOUSE,10,Dry Resin,,
