durasi_manhour,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
9,COIL MAKING,COIL HV,FLAT-KONDUKTOR 1,10,Dry Non Resin,,
13,COIL MAKING,COIL HV,FLAT-KONDUKTOR 2-3,10,Dry Non Resin,,
15,COIL MAKING,COIL HV,FLAT-KONDUKTOR 4-8,10,Dry Non Resin,,
16,COIL MAKING,COIL HV,FLAT-KONDUKTOR >8,10,Dry Non Resin,,
7,COIL MAKING,COIL HV,SHEET-KONDUKTOR 1,10,Dry Non Resin,,
7.5,COIL MAKING,COIL HV,SHEET-KONDUKTOR 2-3,10,Dry Non Resin,,
7.5,COIL MAKING,COIL HV,SHEET-KONDUKTOR 4-8,10,Dry Non Resin,,
7.5,COIL MAKING,COIL HV,SHEET-KONDUKTOR >8,10,Dry Non Resin,,
9,COIL MAKING,COIL HV,ROUND-KONDUKTOR 1,10,Dry Non Resin,,
10,COIL MAKING,COIL HV,ROUND-KONDUKTOR 2-3,10,Dry Non Resin,,
10,COIL MAKING,COIL HV,ROUND-KONDUKTOR 4-8,10,Dry Non Resin,,
10,COIL MAKING,COIL HV,ROUND-KONDUKTOR >8,10,Dry Non Resin,,
7,COIL MAKING,COIL LV,FLAT-KONDUKTOR 1,10,Dry Non Resin,,
8,COIL MAKING,COIL LV,FLAT-KONDUKTOR 2-3,10,Dry Non Resin,,
10,COIL MAKING,COIL LV,FLAT-KONDUKTOR 4-8,10,Dry Non Resin,,
13,COIL MAKING,COIL LV,FLAT-KONDUKTOR >8,10,Dry Non Resin,,
6,COIL MAKING,COIL LV,SHEET-KONDUKTOR 1,10,Dry Non Resin,,
6.5,COIL MAKING,COIL LV,SHEET-KONDUKTOR 2-3,10,Dry Non Resin,,
6.5,COIL MAKING,COIL LV,SHEET-KONDUKTOR 4-8,10,Dry Non Resin,,
6.5,COIL MAKING,COIL LV,SHEET-KONDUKTOR >8,10,Dry Non Resin,,
9,COIL MAKING,COIL LV,ROUND-KONDUKTOR 1,10,Dry Non Resin,,
10,COIL MAKING,COIL LV,ROUND-KONDUKTOR 2-3,10,Dry Non Resin,,
10,COIL MAKING,COIL LV,ROUND-KONDUKTOR 4-8,10,Dry Non Resin,,
10,COIL MAKING,COIL LV,ROUND-KONDUKTOR >8,10,Dry Non Resin,,
1,COIL MAKING,POTONG LEAD WIRE,TEBAL RAIL COPPER ≥ 10t,10,Dry Non Resin,,
1.5,COIL MAKING,POTONG LEAD WIRE,TEBAL RAIL COPPER < 10t,10,Dry Non Resin,,
1,COIL MAKING,POTONG LEAD WIRE,COPPAL BAR,10,Dry Non Resin,,
1,COIL MAKING,POTONG ISOLASI,DUCT STRIP,10,Dry Non Resin,,
0.5,COIL MAKING,POTONG ISOLASI,INNER,10,Dry Non Resin,,
0.5,COIL MAKING,POTONG ISOLASI,OUTER,10,Dry Non Resin,,
3,MOULD & CASTING,MOULD & CASTING,IMPREGNATION VARNISH,10,Dry Non Resin,,
0.25,MOULD & CASTING,OVEN,OVEN CURING,10,Dry Non Resin,,
10,CORE & ASSEMBLY,TYPE SUSUN CORE,WOUND,10,Dry Non Resin,,
6,CORE & ASSEMBLY,TYPE SUSUN CORE,STACKING INHOUSE,10,Dry Non Resin,,
4,CORE & ASSEMBLY,TYPE SUSUN CORE,STACKING OUTSOURCING,10,Dry Non Resin,,
5,CORE & ASSEMBLY,HV CONNECTION TYPE,FLAT,10,Dry Non Resin,,
5,CORE & ASSEMBLY,HV CONNECTION TYPE,SHEET,10,Dry Non Resin,,
5,CORE & ASSEMBLY,HV CONNECTION TYPE,WIRE SOFT,10,Dry Non Resin,,
4,CORE & ASSEMBLY,HV CONNECTION TYPE,RAIL COPPER,10,Dry Non Resin,,
4,CORE & ASSEMBLY,LV CONNECTION TYPE,FLAT,10,Dry Non Resin,,
4,CORE & ASSEMBLY,LV CONNECTION TYPE,SHEET,10,Dry Non Resin,,
5,CORE & ASSEMBLY,LV CONNECTION TYPE,RAIL COPPER,10,Dry Non Resin,,
8,CORE & ASSEMBLY,WIRING,NON-COMPLETE,10,Dry Non Resin,,
0.5,CORE & ASSEMBLY,WIRING,COMPLETE,10,Dry Non Resin,,
6,CORE & ASSEMBLY,INSTAL HOUSING,DENGAN BASE,10,Dry Non Resin,,
3,CORE & ASSEMBLY,INSTAL HOUSING,TANPA BASE,10,Dry Non Resin,,
4,CORE & ASSEMBLY,BONGKAR HOUSING,DENGAN BASE,10,Dry Non Resin,,
3,CORE & ASSEMBLY,BONGKAR HOUSING,TANPA BASE,10,Dry Non Resin,,
1,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV / LV (STANDARD),10,Dry Non Resin,,
2,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV + LV (STANDARD),10,Dry Non Resin,,
1.5,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV / LV (NON-STANDARD),10,Dry Non Resin,,
2.5,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV + LV (NON-STANDARD),10,Dry Non Resin,,
1,CORE & ASSEMBLY,OTHERS,PEMBUATAN CU BAR,10,Dry Non Resin,,
3,CORE & ASSEMBLY,OTHERS,ASSEMBLY STACKING,10,Dry Non Resin,,
3,CORE & ASSEMBLY,OTHERS,FINISHING,10,Dry Non Resin,,
2,CORE & ASSEMBLY,ACCESSORIES,FAN,10,Dry Non Resin,,
50,CORE & ASSEMBLY,ACCESSORIES,OLTC,10,Dry Non Resin,,
2,CORE & ASSEMBLY,ACCESSORIES,LEM SPACER BLOCK/AIR GAP,10,Dry Non Resin,,
1,CORE & ASSEMBLY,POTONG ISOLASI FIBER,PULLING BOARD,10,Dry Non Resin,,
1,CORE & ASSEMBLY,POTONG ISOLASI FIBER,FIXING PART INSULATION,10,Dry Non Resin,,
3.5,QC,QC,ROUTINE TEST,10,Dry Non Resin,,
9,COIL MAKING,COIL HV,FLAT-KONDUKTOR 1,15,Dry Non Resin,,
13,COIL MAKING,COIL HV,FLAT-KONDUKTOR 2-3,15,Dry Non Resin,,
15,COIL MAKING,COIL HV,FLAT-KONDUKTOR 4-8,15,Dry Non Resin,,
16,COIL MAKING,COIL HV,FLAT-KONDUKTOR >8,15,Dry Non Resin,,
7,COIL MAKING,COIL HV,SHEET-KONDUKTOR 1,15,Dry Non Resin,,
7.5,COIL MAKING,COIL HV,SHEET-KONDUKTOR 2-3,15,Dry Non Resin,,
7.5,COIL MAKING,COIL HV,SHEET-KONDUKTOR 4-8,15,Dry Non Resin,,
7.5,COIL MAKING,COIL HV,SHEET-KONDUKTOR >8,15,Dry Non Resin,,
9,COIL MAKING,COIL HV,ROUND-KONDUKTOR 1,15,Dry Non Resin,,
10,COIL MAKING,COIL HV,ROUND-KONDUKTOR 2-3,15,Dry Non Resin,,
10,COIL MAKING,COIL HV,ROUND-KONDUKTOR 4-8,15,Dry Non Resin,,
10,COIL MAKING,COIL HV,ROUND-KONDUKTOR >8,15,Dry Non Resin,,
7,COIL MAKING,COIL LV,FLAT-KONDUKTOR 1,15,Dry Non Resin,,
8,COIL MAKING,COIL LV,FLAT-KONDUKTOR 2-3,15,Dry Non Resin,,
10,COIL MAKING,COIL LV,FLAT-KONDUKTOR 4-8,15,Dry Non Resin,,
13,COIL MAKING,COIL LV,FLAT-KONDUKTOR >8,15,Dry Non Resin,,
6,COIL MAKING,COIL LV,SHEET-KONDUKTOR 1,15,Dry Non Resin,,
6.5,COIL MAKING,COIL LV,SHEET-KONDUKTOR 2-3,15,Dry Non Resin,,
6.5,COIL MAKING,COIL LV,SHEET-KONDUKTOR 4-8,15,Dry Non Resin,,
6.5,COIL MAKING,COIL LV,SHEET-KONDUKTOR >8,15,Dry Non Resin,,
9,COIL MAKING,COIL LV,ROUND-KONDUKTOR 1,15,Dry Non Resin,,
10,COIL MAKING,COIL LV,ROUND-KONDUKTOR 2-3,15,Dry Non Resin,,
10,COIL MAKING,COIL LV,ROUND-KONDUKTOR 4-8,15,Dry Non Resin,,
10,COIL MAKING,COIL LV,ROUND-KONDUKTOR >8,15,Dry Non Resin,,
