durasi_manhour,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
1,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (BIASA),5,REPAIR,,
1.5,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (STAINLESS),5,REPAIR,,
2,BONGKAR,UNTANKING,ON COVER TYPE WELDED,5,REPAIR,,
2,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (BIASA),5,REPAIR,,
3,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (STAINLESS),5,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL STANDARDTYPE WELDED,5,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (BIASA),5,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (STAINLESS),5,REPAIR,,
0,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE WELDED,5,REPAIR,,
0,BONGKAR,CONSERVATOR,CONSERVATOR,5,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV,5,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX LV,5,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV-LV,5,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 4 SUSUN,5,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 8 SUSUN,5,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING HV,5,REPAIR,,
0.3,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING LV,5,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,OIL LEVEL INDICATOR,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,BUCHHOLZ RELAY,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,PRESSURE RELIEF DEVICE,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,WINDING THERMOMETER,5,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,THERMOMETER,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,OLTC,5,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,MOTOR DRIVE,5,REPAIR,,
0.5,BONGKAR,CORE,ANGKAT COIL YOKE CORE ATAS,5,REPAIR,,
2,BONGKAR,CORE,ANGKAT COIL BONGKAR TOTAL,5,REPAIR,,
0,BONGKAR,CORE,ANGKAT COIL WOUND,5,REPAIR,,
1.85,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,5,REPAIR,,
2.3,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,5,REPAIR,,
11,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),5,REPAIR,,
10.5,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,5,REPAIR,,
12,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,5,REPAIR,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,5,REPAIR,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT HELICAL,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,5,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,5,REPAIR,,
0.17,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),5,REPAIR,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,5,REPAIR,,
0.17,COIL MAKING,COIL LV,TRANSPOSE,5,REPAIR,,
