durasi_manhour,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
1.85,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,5,Oli Custom,,
2.3,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,5,Oli Custom,,
11,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),5,Oli Custom,,
10.5,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,5,Oli Custom,,
12,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,5,Oli Custom,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,5,Oli Custom,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,5,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT HELICAL,5,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,5,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,5,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,5,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,5,Oli Custom,,
0.17,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),5,Oli Custom,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,5,Oli Custom,,
0.17,COIL MAKING,COIL LV,TRANSPOSE,5,Oli Custom,,
9.5,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,5,Oli Custom,,
10,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,5,Oli Custom,,
9.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,5,Oli Custom,,
9.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,5,Oli Custom,,
9.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,5,Oli Custom,,
9.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,5,Oli Custom,,
10.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,5,Oli Custom,,
11.75,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,5,Oli Custom,,
10.5,COIL MAKING,COIL HV,2 SECTION,5,Oli Custom,,
15,COIL MAKING,COIL HV,4 SECTION,5,Oli Custom,,
9.5,COIL MAKING,COIL HV,FR OLTC,5,Oli Custom,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,5,Oli Custom,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,5,Oli Custom,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,5,Oli Custom,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,5,Oli Custom,,
0.17,COIL MAKING,COIL HV,TRANSPOSE,5,Oli Custom,,
0.5,COIL MAKING,COIL HV,PRESS COIL,5,Oli Custom,,
3,CORE & COIL ASSEMBLY,CORE-COIL ASSEMBLY,WOUND-KOTAK,5,Oli Custom,,
6,CORE & COIL ASSEMBLY,CORE-COIL ASSEMBLY,STACKING-KOTAK,5,Oli Custom,,
1.5,CONNECTION,CONNECTION,OFF-LOAD,5,Oli Custom,,
0,CONNECTION,CONNECTION,ON-LOAD,5,Oli Custom,,
7,CONNECTION,CONNECTION,CHANGE OVER BOARD,5,Oli Custom,,
3,CONNECTION,CONNECTION,DOUBLE TAP,5,Oli Custom,,
1,CONNECTION,CONNECTION,FLAT,5,Oli Custom,,
1,CONNECTION,CONNECTION,RAIL,5,Oli Custom,,
1,CONNECTION,CONNECTION,WIRE SOFT,5,Oli Custom,,
1,FINAL ASSEMBLY,FINAL ASSY,FLAT,5,Oli Custom,,
1,FINAL ASSEMBLY,FINAL ASSY,RAIL,5,Oli Custom,,
1,FINAL ASSEMBLY,FINAL ASSY,WIRE SOFT,5,Oli Custom,,
0.15,FINAL ASSEMBLY,FINAL ASSY,OVEN,5,Oli Custom,,
1.5,FINAL ASSEMBLY,FINAL ASSY,STANDARD,5,Oli Custom,,
3,FINAL ASSEMBLY,FINAL ASSY,NON-STANDARD,5,Oli Custom,,
1,FINAL ASSEMBLY,FINAL ASSY,PENGISIAN OLI,5,Oli Custom,,
2,FINAL ASSEMBLY,SPECIAL ASSEMBLY FOR FINAL ASSY,RADIATOR VALVE,5,Oli Custom,,
1,FINAL ASSEMBLY,SPECIAL ASSEMBLY FOR FINAL ASSY,SIDEWALL,5,Oli Custom,,
2,FINAL ASSEMBLY,SPECIAL ASSEMBLY FOR FINAL ASSY,TAP CHANGER ROTARY,5,Oli Custom,,
4,FINAL ASSEMBLY,SPECIAL ASSEMBLY FOR FINAL ASSY,ACCESSORIES PAD MOUNTED,5,Oli Custom,,
4,FINAL ASSEMBLY,SPECIAL ASSEMBLY FOR FINAL ASSY,ACCESSORIES POLE MOUNTED,5,Oli Custom,,
1,FINISHING,FINISHING,RAPID PRESSURE RISE RELAY,5,Oli Custom,,
1,FINISHING,FINISHING,WINDING THERMOMETER,5,Oli Custom,,
2,FINISHING,FINISHING,DGPT C/W CONTROL BOX,5,Oli Custom,,
2,FINISHING,FINISHING,MEMBRAN SEPERATOR,5,Oli Custom,,
1,FINISHING,FINISHING,DIAL THERMOMETER,5,Oli Custom,,
1,FINISHING,FINISHING,OIL THERMOMETER,5,Oli Custom,,
1,FINISHING,FINISHING,BUCCHOLZ RELAY,5,Oli Custom,,
1,FINISHING,FINISHING,ANTI VIBRATION,5,Oli Custom,,
14,FINISHING,FINISHING,OLTC,5,Oli Custom,,
1,FINISHING,FINISHING,MOLG,5,Oli Custom,,
0.5,FINISHING,FINISHING,PRD,5,Oli Custom,,
1,FINISHING,FINISHING,CONTROL VT,5,Oli Custom,,
1,FINISHING,FINISHING,DIFFERENTIAL VT,5,Oli Custom,,
14,FINISHING,FINISHING,FAN,5,Oli Custom,,
4,FINISHING,FINISHING,NGR,5,Oli Custom,,
1,FINISHING,FINISHING,ARRESTER,5,Oli Custom,,
4,FINISHING,FINISHING,HEATER,5,Oli Custom,,
1,FINISHING,FINISHING,PT-100,5,Oli Custom,,
2,FINISHING,FINISHING,CABLE BOX HV / LV,5,Oli Custom,,
4,FINISHING,FINISHING,CABLE BOX HV + LV,5,Oli Custom,,
5,FINISHING,FINISHING,WIRING CONTROL BOX STANDARD,5,Oli Custom,,
20,FINISHING,FINISHING,WIRING CONTROL BOX NON-STANDARD,5,Oli Custom,,
3,FINISHING,FINISHING,CU LINK HV / LV (STANDARD),5,Oli Custom,,
6,FINISHING,FINISHING,CU LINK HV + LV (STANDARD),5,Oli Custom,,
14,FINISHING,FINISHING,CU LINK HV / LV (NON-STANDARD),5,Oli Custom,,
28,FINISHING,FINISHING,CU LINK HV /+ LV (NON STANDARD),5,Oli Custom,,
14,FINISHING,FINISHING,RADIATOR PANEL (BONGKAR),5,Oli Custom,,
14,FINISHING,FINISHING,RADIATOR PANEL (PASANG),5,Oli Custom,,
2,FINISHING,FINISHING,CONSERVATOR (BONGKAR),5,Oli Custom,,
2,FINISHING,FINISHING,CONSERVATOR (PASANG),5,Oli Custom,,
2,QC,QC,ROUTINE TEST,5,Oli Custom,,
12,QC,QC,LIGHTNING IMPULSE,5,Oli Custom,,
15,QC,QC,TEMPERATURE RISE,5,Oli Custom,,
1.5,QC,QC,TAN DELTA,5,Oli Custom,,
1.5,QC,QC,NOISE,5,Oli Custom,,
2.5,QC,QC,SFRA,5,Oli Custom,,
2,QC,QC,PD,5,Oli Custom,,
0.33,QC,QC,DGA,5,Oli Custom,,
1.85,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,10,Oli Custom,,
2.3,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,10,Oli Custom,,
11,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),10,Oli Custom,,
10.5,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,10,Oli Custom,,
12,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,10,Oli Custom,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,10,Oli Custom,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,10,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT HELICAL,10,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,10,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,10,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,10,Oli Custom,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,10,Oli Custom,,
0.17,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),10,Oli Custom,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,10,Oli Custom,,
0.17,COIL MAKING,COIL LV,TRANSPOSE,10,Oli Custom,,
9.5,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,10,Oli Custom,,
10,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,10,Oli Custom,,
