durasi_manhour,id_work_center,id_proses,id_tipe_proses,id_kapasitas,id_kategori_produk
15,1,2,80,2,5
17,1,2,81,2,5
19,1,2,82,2,5
22,1,2,83,2,5
15,1,2,84,2,5
17,1,2,85,2,5
19,1,2,86,2,5
22,1,2,87,2,5
4,1,1,80,2,5
5,1,1,81,2,5
5,1,1,82,2,5
8,1,1,83,2,5
4,1,1,88,2,5
5,1,1,89,2,5
6,1,1,84,2,5
6.5,1,1,85,2,5
1,1,62,90,2,5
1.5,1,62,91,2,5
1,1,62,92,2,5
1,1,63,93,2,5
0.5,1,63,94,2,5
0.5,1,63,95,2,5
1,1,63,96,2,5
8,2,64,97,2,5
10,2,64,98,2,5
12,2,64,99,2,5
3,2,65,100,2,5
4,2,65,101,2,5
3,2,66,102,2,5
3,2,66,103,2,5
2,2,67,104,2,5
0.5,2,67,105,2,5
1,2,68,106,2,5
1,2,68,107,2,5
3,2,68,108,2,5
4,2,68,109,2,5
0.25,2,96,152,2,5
0.25,2,96,153,2,5
0.25,2,96,154,2,5
0.25,2,96,155,2,5
4,2,69,110,2,5
2,2,69,111,2,5
4,3,70,112,2,5
6,3,70,113,2,5
0.5,3,71,114,2,5
8,3,70,115,2,5
6,3,72,116,2,5
3,3,72,117,2,5
4,3,73,116,2,5
3,3,73,117,2,5
1,3,74,118,2,5
2,3,74,119,2,5
1.5,3,74,120,2,5
2.5,3,74,121,2,5
1,3,75,122,2,5
0.5,3,75,123,2,5
3,3,75,124,2,5
8,3,75,125,2,5
2,3,111,56,2,5
50,3,111,51,2,5
2,3,111,126,2,5
1,3,77,127,2,5
1,3,77,128,2,5
3.5,5,6,15,2,5
15,1,2,80,3,5
17,1,2,81,3,5
19,1,2,82,3,5
22,1,2,83,3,5
15,1,2,84,3,5
17,1,2,85,3,5
19,1,2,86,3,5
22,1,2,87,3,5
4,1,1,80,3,5
5,1,1,81,3,5
5,1,1,82,3,5
8,1,1,83,3,5
4,1,1,88,3,5
5,1,1,89,3,5
6,1,1,84,3,5
6.5,1,1,85,3,5
1,1,62,90,3,5
1.5,1,62,91,3,5
1,1,62,92,3,5
1,1,63,93,3,5
0.5,1,63,94,3,5
0.5,1,63,95,3,5
1,1,63,96,3,5
8,2,64,97,3,5
10,2,64,98,3,5
12,2,64,99,3,5
3,2,65,100,3,5
4,2,65,101,3,5
3,2,66,102,3,5
3,2,66,103,3,5
2,2,67,104,3,5
0.5,2,67,105,3,5
1,2,68,106,3,5
1,2,68,107,3,5
3,2,68,108,3,5
4,2,68,109,3,5
0.25,2,96,152,3,5
0.25,2,96,153,3,5
0.25,2,96,154,3,5
0.25,2,96,155,3,5
4,2,69,110,3,5
2,2,69,111,3,5
4,3,70,112,3,5
6,3,70,113,3,5
0.5,3,71,114,3,5
8,3,70,115,3,5
6,3,72,116,3,5
3,3,72,117,3,5
4,3,73,116,3,5
3,3,73,117,3,5
1,3,74,118,3,5
2,3,74,119,3,5
1.5,3,74,120,3,5
2.5,3,74,121,3,5
1,3,75,122,3,5
0.5,3,75,123,3,5
3,3,75,124,3,5
8,3,75,125,3,5
2,3,111,56,3,5
50,3,111,51,3,5
2,3,111,126,3,5
1,3,77,127,3,5
1,3,77,128,3,5
3.5,5,6,15,3,5
15,1,2,80,5,5
17,1,2,81,5,5
19,1,2,82,5,5
22,1,2,83,5,5
15,1,2,84,5,5
17,1,2,85,5,5
19,1,2,86,5,5
22,1,2,87,5,5
4,1,1,80,5,5
5,1,1,81,5,5
5,1,1,82,5,5
8,1,1,83,5,5
4,1,1,88,5,5
5,1,1,89,5,5
6,1,1,84,5,5
6.5,1,1,85,5,5
1,1,62,90,5,5
1.5,1,62,91,5,5
1,1,62,92,5,5
1,1,63,93,5,5
0.5,1,63,94,5,5
0.5,1,63,95,5,5
1,1,63,96,5,5
8,2,64,97,5,5
10,2,64,98,5,5
12,2,64,99,5,5
3,2,65,100,5,5
4,2,65,101,5,5
3,2,66,102,5,5
3,2,66,103,5,5
2,2,67,104,5,5
0.5,2,67,105,5,5
1,2,68,106,5,5
1,2,68,107,5,5
3,2,68,108,5,5
4,2,68,109,5,5
0.25,2,96,152,5,5
0.25,2,96,153,5,5
0.25,2,96,154,5,5
0.25,2,96,155,5,5
4,2,69,110,5,5
2,2,69,111,5,5
4,3,70,112,5,5
6,3,70,113,5,5
0.5,3,71,114,5,5
8,3,70,115,5,5
6,3,72,116,5,5
3,3,72,117,5,5
4,3,73,116,5,5
3,3,73,117,5,5
1,3,74,118,5,5
2,3,74,119,5,5
1.5,3,74,120,5,5
2.5,3,74,121,5,5
1,3,75,122,5,5
0.5,3,75,123,5,5
3,3,75,124,5,5
8,3,75,125,5,5
2,3,111,56,5,5
50,3,111,51,5,5
2,3,111,126,5,5
1,3,77,127,5,5
1,3,77,128,5,5
3.5,5,6,15,5,5
15,1,2,80,6,5
17,1,2,81,6,5
19,1,2,82,6,5
22,1,2,83,6,5
15,1,2,84,6,5
17,1,2,85,6,5
19,1,2,86,6,5
22,1,2,87,6,5
4,1,1,80,6,5
5,1,1,81,6,5
5,1,1,82,6,5
8,1,1,83,6,5
4,1,1,88,6,5
5,1,1,89,6,5
6,1,1,84,6,5
6.5,1,1,85,6,5
1,1,62,90,6,5
1.5,1,62,91,6,5
1,1,62,92,6,5
1,1,63,93,6,5
0.5,1,63,94,6,5
0.5,1,63,95,6,5
1,1,63,96,6,5
8,2,64,97,6,5
10,2,64,98,6,5
12,2,64,99,6,5
3,2,65,100,6,5
4,2,65,101,6,5
3,2,66,102,6,5
3,2,66,103,6,5
2,2,67,104,6,5
0.5,2,67,105,6,5
1,2,68,106,6,5
1,2,68,107,6,5
3,2,68,108,6,5
4,2,68,109,6,5
0.25,2,96,152,6,5
0.25,2,96,153,6,5
0.25,2,96,154,6,5
0.25,2,96,155,6,5
4,2,69,110,6,5
2,2,69,111,6,5
4,3,70,112,6,5
6,3,70,113,6,5
0.5,3,71,114,6,5
8,3,70,115,6,5
6,3,72,116,6,5
3,3,72,117,6,5
4,3,73,116,6,5
3,3,73,117,6,5
1,3,74,118,6,5
2,3,74,119,6,5
1.5,3,74,120,6,5
2.5,3,74,121,6,5
1,3,75,122,6,5
0.5,3,75,123,6,5
3,3,75,124,6,5
8,3,75,125,6,5
2,3,111,56,6,5
50,3,111,51,6,5
2,3,111,126,6,5
1,3,77,127,6,5
1,3,77,128,6,5
3.5,5,6,15,6,5
15,1,2,80,8,5
17,1,2,81,8,5
19,1,2,82,8,5
22,1,2,83,8,5
15,1,2,84,8,5
17,1,2,85,8,5
19,1,2,86,8,5
22,1,2,87,8,5
4,1,1,80,8,5
5,1,1,81,8,5
5,1,1,82,8,5
8,1,1,83,8,5
4,1,1,88,8,5
5,1,1,89,8,5
6,1,1,84,8,5
6.5,1,1,85,8,5
1,1,62,90,8,5
1.5,1,62,91,8,5
1,1,62,92,8,5
1,1,63,93,8,5
0.5,1,63,94,8,5
0.5,1,63,95,8,5
1,1,63,96,8,5
8,2,64,97,8,5
10,2,64,98,8,5
12,2,64,99,8,5
3,2,65,100,8,5
4,2,65,101,8,5
3,2,66,102,8,5
3,2,66,103,8,5
2,2,67,104,8,5
0.5,2,67,105,8,5
1,2,68,106,8,5
1,2,68,107,8,5
3,2,68,108,8,5
4,2,68,109,8,5
0.25,2,96,152,8,5
0.25,2,96,153,8,5
0.25,2,96,154,8,5
0.25,2,96,155,8,5
4,2,69,110,8,5
2,2,69,111,8,5
4,3,70,112,8,5
6,3,70,113,8,5
0.5,3,71,114,8,5
8,3,70,115,8,5
